File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF001UUX	bed narrowPeak	peaks	ENCSR000EIY	DNase-seq	UBERON:0001870	frontal cortex	tissue	adult	female	80 year, 67 year	Homo sapiens							DNA		see document	see document		False	2012-08-28	ENCODE												1903310	Gregory Crawford, Duke	c94d2fcd036c2732896c1faa48f1fa3b		https://www.encodeproject.org/files/ENCFF001UUX/@@download/ENCFF001UUX.bed.gz	hg19			archived		missing derived_from		
ENCFF483BPG	bed narrowPeak	peaks	ENCSR000EIY	DNase-seq	UBERON:0001870	frontal cortex	tissue	adult	female	80 year, 67 year	Homo sapiens							DNA		see document	see document		False	2012-08-28	ENCODE				1							ENCFF149HKU, ENCFF967OQF	1219498	ENCODE Processing Pipeline	8aaa27c629c4d5c43484ebb112b41939		https://www.encodeproject.org/files/ENCFF483BPG/@@download/ENCFF483BPG.bed.gz	GRCh38			released				
ENCFF840NPU	bed narrowPeak	peaks	ENCSR000EIY	DNase-seq	UBERON:0001870	frontal cortex	tissue	adult	female	80 year, 67 year	Homo sapiens							DNA		see document	see document		False	2012-08-28	ENCODE				2							ENCFF822MFO, ENCFF967OQF	1323653	ENCODE Processing Pipeline	49eab5fa7e1c2dd3bb9c271b28ad1a36		https://www.encodeproject.org/files/ENCFF840NPU/@@download/ENCFF840NPU.bed.gz	GRCh38			released				
ENCFF104NYW	bed narrowPeak	peaks	ENCSR000EIY	DNase-seq	UBERON:0001870	frontal cortex	tissue	adult	female	80 year, 67 year	Homo sapiens							DNA		see document	see document		False	2012-08-28	ENCODE				1							ENCFF013YIZ, ENCFF390DNP	1226776	ENCODE Processing Pipeline	642763bc3f489898b321972e1b4a2ba9		https://www.encodeproject.org/files/ENCFF104NYW/@@download/ENCFF104NYW.bed.gz	hg19			released				
ENCFF860LAZ	bed narrowPeak	peaks	ENCSR000EIY	DNase-seq	UBERON:0001870	frontal cortex	tissue	adult	female	80 year, 67 year	Homo sapiens							DNA		see document	see document		False	2012-08-28	ENCODE				2							ENCFF333DJM, ENCFF390DNP	1328403	ENCODE Processing Pipeline	eb2c0cbac5229e08bbf8fb6828b2f8c4		https://www.encodeproject.org/files/ENCFF860LAZ/@@download/ENCFF860LAZ.bed.gz	hg19			released				
ENCFF001SRK	bed narrowPeak	peaks	ENCSR000EOF	DNase-seq	CL:0002304	non-pigmented ciliary epithelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1, 2							ENCFF001DJC, ENCFF001DJH	1989059	John Stamatoyannopoulos, UW	ffb379becc5ff1c5d18c748166fd3aeb		https://www.encodeproject.org/files/ENCFF001SRK/@@download/ENCFF001SRK.bed.gz	hg19			archived	low read depth			
ENCFF001WLH	bed narrowPeak	peaks	ENCSR000EOF	DNase-seq	CL:0002304	non-pigmented ciliary epithelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF001DJC	2396627	John Stamatoyannopoulos, UW	4b64e2c97cd8561c2a716210089778fb		https://www.encodeproject.org/files/ENCFF001WLH/@@download/ENCFF001WLH.bed.gz	hg19			archived	low read depth			
ENCFF001WLI	bed narrowPeak	peaks	ENCSR000EOF	DNase-seq	CL:0002304	non-pigmented ciliary epithelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF001DJH	1984690	John Stamatoyannopoulos, UW	4283bcbd3bee7284e0d128c37d5bf59e		https://www.encodeproject.org/files/ENCFF001WLI/@@download/ENCFF001WLI.bed.gz	hg19			archived	low read depth			
ENCFF833AYH	bed narrowPeak	peaks	ENCSR000EOF	DNase-seq	CL:0002304	non-pigmented ciliary epithelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF163ZHO, ENCFF337AGX	1060807	ENCODE Processing Pipeline	478b8b5b3084122551a3e4db40726af2		https://www.encodeproject.org/files/ENCFF833AYH/@@download/ENCFF833AYH.bed.gz	hg19			archived	low read depth			
ENCFF103UFM	bed narrowPeak	peaks	ENCSR000EOF	DNase-seq	CL:0002304	non-pigmented ciliary epithelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF163ZHO, ENCFF439GHJ	873929	ENCODE Processing Pipeline	839a3ac691d2f1967ea69c945ea9dd30		https://www.encodeproject.org/files/ENCFF103UFM/@@download/ENCFF103UFM.bed.gz	hg19			archived	low read depth			
ENCFF787YHW	bed narrowPeak	peaks	ENCSR000EOF	DNase-seq	CL:0002304	non-pigmented ciliary epithelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF613MGD, ENCFF992CZQ	1063160	ENCODE Processing Pipeline	8d54d400920833884346a0f62da05139		https://www.encodeproject.org/files/ENCFF787YHW/@@download/ENCFF787YHW.bed.gz	GRCh38			archived	low read depth			
ENCFF491VQA	bed narrowPeak	peaks	ENCSR000EOF	DNase-seq	CL:0002304	non-pigmented ciliary epithelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF992CZQ, ENCFF997VPL	878223	ENCODE Processing Pipeline	a5f83f5e19651458673b32fc471dea9f		https://www.encodeproject.org/files/ENCFF491VQA/@@download/ENCFF491VQA.bed.gz	GRCh38			archived	low read depth			
ENCFF454ETI	bed narrowPeak	peaks	ENCSR000EOF	DNase-seq	CL:0002304	non-pigmented ciliary epithelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF188SZW, ENCFF967OQF	1116064	ENCODE Processing Pipeline	0f8034ec05ea83e5247396c83814a65c		https://www.encodeproject.org/files/ENCFF454ETI/@@download/ENCFF454ETI.bed.gz	GRCh38			released	low read depth			
ENCFF998ZTZ	bed narrowPeak	peaks	ENCSR000EOF	DNase-seq	CL:0002304	non-pigmented ciliary epithelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF644BXG, ENCFF967OQF	918827	ENCODE Processing Pipeline	ac7e266a1c06c8676d56263d032e5f98		https://www.encodeproject.org/files/ENCFF998ZTZ/@@download/ENCFF998ZTZ.bed.gz	GRCh38			released	low read depth			
ENCFF922CTF	bed narrowPeak	peaks	ENCSR000EOF	DNase-seq	CL:0002304	non-pigmented ciliary epithelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF221CAO, ENCFF390DNP	1113611	ENCODE Processing Pipeline	f823363e716709b4e2e121f9f8139515		https://www.encodeproject.org/files/ENCFF922CTF/@@download/ENCFF922CTF.bed.gz	hg19			released	low read depth			
ENCFF583KFI	bed narrowPeak	peaks	ENCSR000EOF	DNase-seq	CL:0002304	non-pigmented ciliary epithelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF350PRK, ENCFF390DNP	915631	ENCODE Processing Pipeline	2d30016efd6579d9c8561e7b79d4c8a1		https://www.encodeproject.org/files/ENCFF583KFI/@@download/ENCFF583KFI.bed.gz	hg19			released	low read depth			
ENCFF001SPC	bed narrowPeak	peaks	ENCSR000EKM	DNase-seq	EFO:0005718	Ishikawa	immortalized cell line	adult	female	39 year	Homo sapiens	17β-estradiol						DNA		see document	see document		False	2012-03-28	ENCODE												1300436	Gregory Crawford, Duke	0ac62813e6883ded3e3fc9ff986ba7fa		https://www.encodeproject.org/files/ENCFF001SPC/@@download/ENCFF001SPC.bed.gz	hg19			archived		missing derived_from		extremely low read depth
ENCFF001UWK	bed narrowPeak	peaks	ENCSR000EKM	DNase-seq	EFO:0005718	Ishikawa	immortalized cell line	adult	female	39 year	Homo sapiens	17β-estradiol						DNA		see document	see document		False	2012-03-28	ENCODE												1928189	Gregory Crawford, Duke	1d7778fc0ddb9e02115400bcb05e6f16		https://www.encodeproject.org/files/ENCFF001UWK/@@download/ENCFF001UWK.bed.gz	hg19			archived		missing derived_from		extremely low read depth
ENCFF907ENH	bed narrowPeak	peaks	ENCSR000EKM	DNase-seq	EFO:0005718	Ishikawa	immortalized cell line	adult	female	39 year	Homo sapiens	17β-estradiol						DNA		see document	see document		False	2012-03-28	ENCODE				1							ENCFF808RDL, ENCFF967OQF	17194	ENCODE Processing Pipeline	649d5d6a4675ab440db57596c37f9747		https://www.encodeproject.org/files/ENCFF907ENH/@@download/ENCFF907ENH.bed.gz	GRCh38			released				extremely low read depth
ENCFF923DGE	bed narrowPeak	peaks	ENCSR000EKM	DNase-seq	EFO:0005718	Ishikawa	immortalized cell line	adult	female	39 year	Homo sapiens	17β-estradiol						DNA		see document	see document		False	2012-03-28	ENCODE				1							ENCFF024ZDT, ENCFF390DNP	1564261	ENCODE Processing Pipeline	781e7103a8313a13ceb6878e275573b3		https://www.encodeproject.org/files/ENCFF923DGE/@@download/ENCFF923DGE.bed.gz	hg19			released				extremely low read depth
ENCFF001WCW	bed narrowPeak	peaks	ENCSR000EQI	DNase-seq	CL:0000546	T-helper 2 cell	primary cell	adult	male	33 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1		36					ENCFF001CLP	1985266	John Stamatoyannopoulos, UW	34cf72458bd0abe7287adc424c3c42c6		https://www.encodeproject.org/files/ENCFF001WCW/@@download/ENCFF001WCW.bed.gz	hg19			archived		sequencing runs labeled as technical replicates		
ENCFF001WTU	bed narrowPeak	peaks	ENCSR000EQI	DNase-seq	CL:0000546	T-helper 2 cell	primary cell	adult	male	33 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1		36					ENCFF001EJX	1500527	John Stamatoyannopoulos, UW	5dccba21b2ae7c46400a1ac182d70157		https://www.encodeproject.org/files/ENCFF001WTU/@@download/ENCFF001WTU.bed.gz	hg19			archived		sequencing runs labeled as technical replicates		
ENCFF089JTD	bed narrowPeak	peaks	ENCSR000EQI	DNase-seq	CL:0000546	T-helper 2 cell	primary cell	adult	male	33 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF543WBR, ENCFF967OQF	2426726	ENCODE Processing Pipeline	4e7e6b67be39911dc2a5116a31e2f68d		https://www.encodeproject.org/files/ENCFF089JTD/@@download/ENCFF089JTD.bed.gz	GRCh38			released		sequencing runs labeled as technical replicates		
